bodytype,brand,mileage,color,engine,complectation,tax,transmission,drive,wheel,owners,customs,pts,year,price
Кузовхэтчбек 5 дв.,Audi A3 III (8V),Пробег128 280 км,Цветчёрный,Двигатель1.4 л / 125 л.с. / Бензин,КомплектацияAmbition,Налог4 375 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,990 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег213 560 км,Цветсерый,Двигатель3.0 л / 245 л.с. / Дизель,Комплектация41 опция,Налог18 375 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2013,2 193 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 55 TFSI V (C8),Пробег29 000 км,Цветсиний,Двигатель3.0 л / 340 л.с. / Бензин,КомплектацияDesign 55 TFSI quattro S tronic,Налог51 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,4 570 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег137 000 км,Цветчёрный,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация40 опций,Налог16 875 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 949 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег83 572 км,Цветбелый,Двигатель2.0 л / 170 л.с. / Бензин,КомплектацияБазовая,Налог8 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 635 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег33 474 км,Цветсиний,Двигатель1.4 л / 150 л.с. / Бензин,КомплектацияAdvance,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,2 495 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q8 55 TFSI I,Пробег16 320 км,Цветсиний,Двигатель3.0 л / 340 л.с. / Бензин,Комплектация48 опций,Налог102 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,7 400 000 ₽Хорошая ценаСмотреть статистику цен
Кузовлифтбек,Audi A7 I (4G) Рестайлинг,Пробег92 000 км,Цветчёрный,Двигатель2.8 л / 220 л.с. / Бензин,Комплектация55 опций,Налог16 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 500 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег41 641 км,Цветчёрный,Двигатель1.4 л / 150 л.с. / Бензин,КомплектацияAdvance 35 TFSI S tronic,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,2 530 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег142 000 км,Цветбелый,Двигатель4.1 л / 340 л.с. / Дизель,КомплектацияБазовая,Налог51 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2011,2 075 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R),Пробег179 000 км,Цветчёрный,Двигатель3.2 л / 270 л.с. / Бензин,КомплектацияБазовая,Налог24 975 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 350 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег118 635 км,Цветчёрный,Двигатель1.8 л / 170 л.с. / Бензин,КомплектацияБазовая,Налог8 500 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 000 000 ₽Отличная ценаСмотреть статистику цен
